athlete_id,date,duration_minutes,intensity_rpe,session_load,soreness,has_prior_injury
ATH_001_CON,2025-10-01 12:59:47.800230,0.0,0.0,0.0,0.3,False
ATH_001_CON,2025-10-02 12:59:47.800230,0.0,0.0,0.0,1.0,False
ATH_001_CON,2025-10-03 12:59:47.800230,76.6,6.6,503.8,3.4,False
ATH_001_CON,2025-10-04 12:59:47.800230,92.5,3.3,301.6,3.3,False
ATH_001_CON,2025-10-05 12:59:47.800230,68.5,5.6,381.3,1.6,False
ATH_001_CON,2025-10-06 12:59:47.800230,84.9,5.6,472.6,7.6,False
ATH_001_CON,2025-10-07 12:59:47.800230,63.6,5.2,331.1,1.9,False
ATH_001_CON,2025-10-08 12:59:47.800230,41.3,6.9,283.2,3.6,False
ATH_001_CON,2025-10-09 12:59:47.800230,30.0,5.9,178.2,3.9,False
ATH_001_CON,2025-10-10 12:59:47.800230,0.0,0.0,0.0,1.8,False
ATH_001_CON,2025-10-11 12:59:47.800230,87.0,4.3,375.0,2.0,False
ATH_001_CON,2025-10-12 12:59:47.800230,81.6,4.7,387.5,0.0,False
ATH_001_CON,2025-10-13 12:59:47.800230,57.5,2.7,155.8,5.2,False
ATH_001_CON,2025-10-14 12:59:47.800230,0.0,0.0,0.0,1.0,False
ATH_001_CON,2025-10-15 12:59:47.800230,50.2,7.0,350.2,1.6,False
ATH_001_CON,2025-10-16 12:59:47.800230,53.8,5.6,299.7,3.1,False
ATH_001_CON,2025-10-17 12:59:47.800230,69.0,5.0,347.3,1.3,False
ATH_001_CON,2025-10-18 12:59:47.800230,74.4,6.3,465.6,5.6,False
ATH_001_CON,2025-10-19 12:59:47.800230,83.1,5.2,431.9,1.8,False
ATH_001_CON,2025-10-20 12:59:47.800230,61.2,8.4,512.3,2.7,False
ATH_001_CON,2025-10-21 12:59:47.800230,56.6,7.4,418.5,7.3,False
ATH_001_CON,2025-10-22 12:59:47.800230,56.4,5.6,314.5,2.8,False
ATH_001_CON,2025-10-23 12:59:47.800230,52.2,4.5,236.0,2.5,False
ATH_001_CON,2025-10-24 12:59:47.800230,42.7,3.9,166.1,0.0,False
ATH_001_CON,2025-10-25 12:59:47.800230,0.0,0.0,0.0,0.2,False
ATH_001_CON,2025-10-26 12:59:47.800230,67.0,3.3,219.2,5.0,False
ATH_001_CON,2025-10-27 12:59:47.800230,64.5,4.7,305.1,7.6,False
ATH_001_CON,2025-10-28 12:59:47.800230,81.9,3.8,307.5,4.6,False
ATH_001_CON,2025-10-29 12:59:47.800230,75.6,2.3,171.3,2.6,False
ATH_001_CON,2025-10-30 12:59:47.800230,63.9,8.3,533.2,0.2,False
ATH_001_CON,2025-10-31 12:59:47.800230,125.7,3.6,450.4,3.2,False
ATH_001_CON,2025-11-01 12:59:47.800230,61.9,6.4,394.8,2.3,False
