athlete_id,date,duration_minutes,intensity_rpe,session_load,soreness,has_prior_injury,acute_load,chronic_load,acwr,week,year,training_monotony,training_strain,previous_acute_load,load_change_pct,load_spike,spike_magnitude
ATH_001_CON,2025-10-01 12:59:47.800230,0.0,0.0,0.0,0.3,False,,,,40,2025,1.0395178653064445,1233.5958507591577,,0.0,False,0.0
ATH_001_CON,2025-10-02 12:59:47.800230,0.0,0.0,0.0,1.0,False,,,,40,2025,1.0395178653064445,1233.5958507591577,,0.0,False,0.0
ATH_001_CON,2025-10-03 12:59:47.800230,76.6,6.6,503.8,3.4,False,,,,40,2025,1.0395178653064445,1233.5958507591577,,0.0,False,0.0
ATH_001_CON,2025-10-04 12:59:47.800230,92.5,3.3,301.6,3.3,False,,,,40,2025,1.0395178653064445,1233.5958507591577,,0.0,False,0.0
ATH_001_CON,2025-10-05 12:59:47.800230,68.5,5.6,381.3,1.6,False,,,,40,2025,1.0395178653064445,1233.5958507591577,,0.0,False,0.0
ATH_001_CON,2025-10-06 12:59:47.800230,84.9,5.6,472.6,7.6,False,,,,41,2025,1.8417530226531793,3734.338428731586,,0.0,False,0.0
ATH_001_CON,2025-10-07 12:59:47.800230,63.6,5.2,331.1,1.9,False,1990.4,,,41,2025,1.8417530226531793,3734.338428731586,,0.0,False,0.0
ATH_001_CON,2025-10-08 12:59:47.800230,41.3,6.9,283.2,3.6,False,2273.6,,,41,2025,1.8417530226531793,3734.338428731586,,0.0,False,0.0
ATH_001_CON,2025-10-09 12:59:47.800230,30.0,5.9,178.2,3.9,False,2451.8,,,41,2025,1.8417530226531793,3734.338428731586,,0.0,False,0.0
ATH_001_CON,2025-10-10 12:59:47.800230,0.0,0.0,0.0,1.8,False,1948.0,,,41,2025,1.8417530226531793,3734.338428731586,,0.0,False,0.0
ATH_001_CON,2025-10-11 12:59:47.800230,87.0,4.3,375.0,2.0,False,2021.4,,,41,2025,1.8417530226531793,3734.338428731586,,0.0,False,0.0
ATH_001_CON,2025-10-12 12:59:47.800230,81.6,4.7,387.5,0.0,False,2027.6,,,41,2025,1.8417530226531793,3734.338428731586,,0.0,False,0.0
